Currency,Asks MEXC,Bids MEXC,Asks GateIo,Bids GateIo,Asks HUOBI,Bids HUOBI,Asks Ascendex,Bids Ascendex,diff,diff,diff,diff,diff,diff
XLM,0.09271,0.0927,0.092837,0.092693,0.092796,0.092783,0.09357,0.09257,Ask:GateIo/Bid:MEXC: 0.147%,Ask:HUOBI/Bid:MEXC: 0.103%,Ask:Ascendex/Bid:MEXC: 0.938%,Ask:HUOBI/Bid:GateIo: 0.111%,Ask:Ascendex/Bid:GateIo: 0.946%,Ask:Ascendex/Bid:HUOBI: 0.848%
DOT,5.669,5.668,5.671,5.6709,5.6721,5.6712,5.6797,5.6683,Ask:GateIo/Bid:MEXC: 0.052%,Ask:HUOBI/Bid:MEXC: 0.072%,Ask:Ascendex/Bid:MEXC: 0.206%,Ask:HUOBI/Bid:GateIo: 0.021%,Ask:Ascendex/Bid:GateIo: 0.155%,Ask:Ascendex/Bid:HUOBI: 0.149%
ADA,0.3809,0.3808,0.38109,0.38102,0.381199,0.381112,0.38139,0.3807,Ask:GateIo/Bid:MEXC: 0.076%,Ask:HUOBI/Bid:MEXC: 0.104%,Ask:Ascendex/Bid:MEXC: 0.154%,Ask:HUOBI/Bid:GateIo: 0.046%,Ask:GateIo/Bid:Ascendex: 0.102%,Ask:HUOBI/Bid:Ascendex: 0.131%
STETH,u,u,1920.5868,1915.5886,1938.8,1899.36,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 1.211%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SHIB,9.48e-06,9.47e-06,0.0000094878,0.0000094858,9.5e-06,9.48e-06,0.00000953,0.00000944,Ask:GateIo/Bid:MEXC: 0.187%,Ask:HUOBI/Bid:MEXC: 0.316%,Ask:Ascendex/Bid:MEXC: 0.633%,Ask:HUOBI/Bid:GateIo: 0.149%,Ask:GateIo/Bid:Ascendex: 0.506%,Ask:HUOBI/Bid:Ascendex: 0.635%
XMR,157.18,157.17,157.21,157.13,156.98,156.87,u,u,Ask:MEXC/Bid:GateIo: 0.031%,Ask:MEXC/Bid:HUOBI: 0.197%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.216%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
AAVE,69.75,69.74,69.78,69.7,69.7768,69.7621,69.87,69.63,Ask:MEXC/Bid:GateIo: 0.071%,Ask:HUOBI/Bid:MEXC: 0.052%,Ask:Ascendex/Bid:MEXC: 0.186%,Ask:HUOBI/Bid:GateIo: 0.110%,Ask:Ascendex/Bid:GateIo: 0.243%,Ask:HUOBI/Bid:Ascendex: 0.210%
QNT,109.85,109.84,110.088,109.806,u,u,110.74,109.38,Ask:GateIo/Bid:MEXC: 0.225%,MEXC/HUOBI: unavailable,Ask:Ascendex/Bid:MEXC: 0.819%,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 0.850%,HUOBI/Ascendex: unavailable
SOL,22.562,22.561,22.582,22.569,22.5783,22.5724,22.6009,22.5308,Ask:GateIo/Bid:MEXC: 0.093%,Ask:HUOBI/Bid:MEXC: 0.076%,Ask:Ascendex/Bid:MEXC: 0.176%,Ask:GateIo/Bid:HUOBI: 0.042%,Ask:GateIo/Bid:Ascendex: 0.227%,Ask:HUOBI/Bid:Ascendex: 0.210%
ETH,1918.72,1918.71,1919.31,1919.3,1919.43,1919.42,1920.47,1919.61,Ask:GateIo/Bid:MEXC: 0.031%,Ask:HUOBI/Bid:MEXC: 0.037%,Ask:Ascendex/Bid:MEXC: 0.091%,Ask:HUOBI/Bid:GateIo: 0.006%,Ask:Ascendex/Bid:GateIo: 0.060%,Ask:Ascendex/Bid:HUOBI: 0.054%
CRO,0.0691,0.069,0.069099,0.069064,u,u,0.06978,0.06945,Ask:GateIo/Bid:MEXC: 0.143%,MEXC/HUOBI: unavailable,Ask:Ascendex/Bid:MEXC: 1.130%,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 1.036%,HUOBI/Ascendex: unavailable
RNDR,2.1987,2.1986,2.2009,2.1983,2.205,2.2032,2.211,2.193,Ask:GateIo/Bid:MEXC: 0.104%,Ask:HUOBI/Bid:MEXC: 0.291%,Ask:Ascendex/Bid:MEXC: 0.563%,Ask:HUOBI/Bid:GateIo: 0.304%,Ask:Ascendex/Bid:GateIo: 0.577%,Ask:HUOBI/Bid:Ascendex: 0.547%
TONCOIN,u,u,u,u,u,u,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
EGLD,u,u,39.466,39.366,39.4721,39.4404,39.45,39.36,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.269%,Ask:GateIo/Bid:Ascendex: 0.269%,Ask:HUOBI/Bid:Ascendex: 0.284%
XRD,0.0889,0.0874,0.087987,0.087903,u,u,0.08809,0.08788,Ask:MEXC/Bid:GateIo: 1.134%,MEXC/HUOBI: unavailable,Ask:MEXC/Bid:Ascendex: 1.160%,GateIo/HUOBI: unavailable,Ask:Ascendex/Bid:GateIo: 0.212%,HUOBI/Ascendex: unavailable
